deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.009375 0.632812 0.983717 
0.009375 0.637500 0.983511 
0.009375 0.642188 0.983304 
0.009375 0.646875 0.983095 
0.009375 0.651562 0.982884 
0.009375 0.656250 0.982671 
0.009375 0.660937 0.982456 
0.009375 0.665625 0.982240 
0.009375 0.670312 0.982022 
0.009375 0.675000 0.981802 
0.009375 0.679688 0.981581 
0.009375 0.684375 0.981358 
0.009375 0.689063 0.981133 
0.009375 0.693750 0.980906 
0.009375 0.698437 0.980677 
0.009375 0.703125 0.980446 
0.009375 0.707812 0.980214 
0.009375 0.712500 0.979980 
0.009375 0.717187 0.979744 
0.009375 0.721875 0.979506 
0.009375 0.726562 0.979266 
0.009375 0.731250 0.979024 
0.009375 0.735938 0.978781 
0.009375 0.740625 0.978535 
0.009375 0.745312 0.978288 
0.009375 0.750000 0.978038 
0.009375 0.754687 0.977787 
0.009375 0.759375 0.977534 
0.009375 0.764062 0.977279 
0.009375 0.768750 0.977021 
0.009375 0.773438 0.976762 
0.009375 0.778125 0.976501 
0.009375 0.782813 0.976238 
0.009375 0.787500 0.975972 
0.009375 0.792187 0.975705 
0.009375 0.796875 0.975436 
0.009375 0.801562 0.975164 
0.009375 0.806250 0.974891 
0.009375 0.810937 0.974615 
0.009375 0.815625 0.974337 
0.009375 0.820312 0.974057 
0.009375 0.825000 0.973776 
0.009375 0.829688 0.973491 
0.009375 0.834375 0.973205 
0.009375 0.839062 0.972917 
0.009375 0.843750 0.972626 
0.009375 0.848437 0.972333 
0.009375 0.853125 0.972038 
0.009375 0.857812 0.971741 
0.009375 0.862500 0.971441 
0.009375 0.867188 0.971139 
0.009375 0.871875 0.970835 
0.009375 0.876563 0.970529 
0.009375 0.881250 0.970220 
0.009375 0.885937 0.969909 
0.009375 0.890625 0.969596 
0.009375 0.895312 0.969280 
0.009375 0.900000 0.968962 
0.009375 0.904687 0.968642 
0.009375 0.909375 0.968319 
0.009375 0.914062 0.967994 
0.009375 0.918750 0.967666 
0.009375 0.923437 0.967336 
0.009375 0.928125 0.967004 
0.009375 0.932812 0.966669 
0.009375 0.937500 0.966331 
0.009375 0.942187 0.965991 
0.009375 0.946875 0.965649 
0.009375 0.951562 0.965303 
0.009375 0.956250 0.964956 
0.009375 0.960938 0.964606 
0.009375 0.965625 0.964253 
0.009375 0.970312 0.963897 
0.009375 0.975000 0.963539 
0.009375 0.979687 0.963179 
0.009375 0.984375 0.962815 
0.009375 0.989062 0.962449 
0.009375 0.993750 0.962080 
0.009375 0.998437 0.961709 
0.009375 1.003125 0.961335 
0.009375 1.007812 0.960958 
0.009375 1.012500 0.960578 
0.009375 1.017187 0.960195 
0.009375 1.021875 0.959810 
0.009375 1.026563 0.959422 
0.009375 1.031250 0.959030 
0.009375 1.035937 0.958636 
0.009375 1.040625 0.958239 
0.009375 1.045312 0.957840 
0.009375 1.050000 0.957437 
0.009375 1.054688 0.957031 
0.009375 1.059375 0.956622 
0.009375 1.064062 0.956210 
0.009375 1.068750 0.955795 
0.009375 1.073438 0.955378 
0.009375 1.078125 0.954957 
0.009375 1.082812 0.954532 
0.009375 1.087500 0.954105 
0.009375 1.092187 0.953675 
0.009375 1.096875 0.953241 
0.009375 1.101562 0.952804 
0.009375 1.106250 0.952364 
0.009375 1.110937 0.951921 
0.009375 1.115625 0.951474 
0.009375 1.120313 0.951024 
0.009375 1.125000 0.950571 
0.009375 1.129687 0.950114 
0.009375 1.134375 0.949654 
0.009375 1.139062 0.949191 
0.009375 1.143750 0.948724 
0.009375 1.148438 0.948254 
0.009375 1.153125 0.947780 
0.009375 1.157812 0.947302 
0.009375 1.162500 0.946821 
0.009375 1.167188 0.946337 
0.009375 1.171875 0.945848 
0.009375 1.176562 0.945357 
0.009375 1.181250 0.944861 
0.009375 1.185937 0.944362 
0.009375 1.190625 0.943859 
0.009375 1.195312 0.943352 
0.009375 1.200000 0.942841 
0.012500 0.004687 0.999078 
0.012500 0.009375 0.999036 
0.012500 0.014062 0.998994 
0.012500 0.018750 0.998950 
0.012500 0.023438 0.998906 
0.012500 0.028125 0.998861 
0.012500 0.032813 0.998815 
0.012500 0.037500 0.998768 
0.012500 0.042187 0.998720 
0.012500 0.046875 0.998672 
0.012500 0.051562 0.998622 
0.012500 0.056250 0.998571 
0.012500 0.060937 0.998520 
0.012500 0.065625 0.998468 
0.012500 0.070312 0.998414 
0.012500 0.075000 0.998360 
0.012500 0.079687 0.998305 
0.012500 0.084375 0.998249 
0.012500 0.089063 0.998192 
0.012500 0.093750 0.998134 
0.012500 0.098437 0.998075 
0.012500 0.103125 0.998015 
0.012500 0.107812 0.997954 
0.012500 0.112500 0.997893 
0.012500 0.117188 0.997830 
0.012500 0.121875 0.997766 
0.012500 0.126562 0.997702 
0.012500 0.131250 0.997636 
0.012500 0.135937 0.997569 
0.012500 0.140625 0.997502 
0.012500 0.145312 0.997433 
0.012500 0.150000 0.997363 
0.012500 0.154688 0.997293 
0.012500 0.159375 0.997221 
0.012500 0.164062 0.997148 
0.012500 0.168750 0.997075 
0.012500 0.173437 0.997000 
0.012500 0.178125 0.996925 
0.012500 0.182812 0.996848 
0.012500 0.187500 0.996770 
0.012500 0.192187 0.996691 
0.012500 0.196875 0.996611 
0.012500 0.201563 0.996530 
0.012500 0.206250 0.996449 
0.012500 0.210938 0.996366 
0.012500 0.215625 0.996282 
0.012500 0.220312 0.996196 
0.012500 0.225000 0.996110 
0.012500 0.229687 0.996023 
0.012500 0.234375 0.995935 
0.012500 0.239062 0.995845 
0.012500 0.243750 0.995755 
0.012500 0.248437 0.995663 
0.012500 0.253125 0.995570 
0.012500 0.257812 0.995476 
0.012500 0.262500 0.995381 
0.012500 0.267187 0.995285 
0.012500 0.271875 0.995188 
0.012500 0.276562 0.995090 
0.012500 0.281250 0.994990 
0.012500 0.285938 0.994890 
0.012500 0.290625 0.994788 
0.012500 0.295312 0.994685 
0.012500 0.300000 0.994581 
0.012500 0.304688 0.994476 
0.012500 0.309375 0.994369 
0.012500 0.314062 0.994262 
0.012500 0.318750 0.994153 
0.012500 0.323437 0.994043 
0.012500 0.328125 0.993932 
0.012500 0.332813 0.993819 
0.012500 0.337500 0.993706 
0.012500 0.342187 0.993591 
0.012500 0.346875 0.993475 
0.012500 0.351562 0.993358 
0.012500 0.356250 0.993240 
0.012500 0.360937 0.993120 
0.012500 0.365625 0.992999 
0.012500 0.370312 0.992877 
0.012500 0.375000 0.992753 
0.012500 0.379688 0.992629 
0.012500 0.384375 0.992503 
0.012500 0.389062 0.992376 
0.012500 0.393750 0.992247 
0.012500 0.398438 0.992117 
0.012500 0.403125 0.991986 
0.012500 0.407812 0.991854 
0.012500 0.412500 0.991720 
0.012500 0.417187 0.991585 
0.012500 0.421875 0.991449 
0.012500 0.426563 0.991312 
0.012500 0.431250 0.991173 
0.012500 0.435937 0.991032 
